"Variable" "Variable_type" "N" "Converged" "Beta" "SE" "Variable_pvalue" "LRT_pvalue" "Diff_AIC" "pval" "outcome" "weight" "pvalue_Bonf" "pvalue_FDR"
"LBXHPE" "continuous" 466 TRUE "0.269429823393957" "0.312232724883898" "0.400935015814887" "None" "None" 0.400935015814887 "logLBXB12" "WTSPO4YR" 1 0.669302808658723
"URXMHP" "continuous" 1043 TRUE "-0.000454157748746843" "0.000538911622171961" "0.411799814000629" "None" "None" 0.411799814000629 "logLBXB12" "WTSPH4YR" 1 0.681940491985042
"DR1TVARA" "continuous" 2017 TRUE "2.58224805089812e-05" "2.83553973196787e-05" "0.429611367815599" "None" "None" 0.429611367815599 "logLBXB12" "WTDR4YR" 1 0.705790104268484
"DRD370BQ" "continuous" 558 TRUE "-0.00715548531926872" "0.00905861551678911" "0.443751020706065" "None" "None" 0.443751020706065 "logLBXB12" "WTDR4YR (10 observations are missing weights)" 1 0.723279222725633
"URXUTL" "continuous" 963 TRUE "0.118749930687128" "0.154732734689443" "0.453990067777266" "None" "None" 0.453990067777266 "logLBXB12" "WTSHM4YR" 1 0.734187062733548
"LBXOXY" "continuous" 481 TRUE "0.778962670747828" "1.0487670042143" "0.468403806292694" "None" "None" 0.468403806292694 "logLBXB12" "WTSPO4YR" 1 0.75162471242316
"LBXHA" "categorical" 3724 TRUE "None" "None" "None" "0.475135437066016" "None" 0.475135437066016 "logLBXB12" "WTMEC4YR" 1 0.756561811328195
"URXP12" "continuous" 951 TRUE "-0.000795977724903695" "0.00111333929293686" "0.484944435834674" "None" "None" 0.484944435834674 "logLBXB12" "WTMEC4YR" 1 0.766286245937233
"LBXF03" "continuous" 217 TRUE "-0.00260516381219733" "0.00321999826351762" "0.503428288443989" "None" "None" 0.503428288443989 "logLBXB12" "WTSPO4YR" 1 0.78288955033766
"DR1TRET" "continuous" 2017 TRUE "2.71188043868931e-05" "3.61094609177221e-05" "0.507184861951376" "None" "None" 0.507184861951376 "logLBXB12" "WTDR4YR" 1 0.78288955033766
"DR1TS140" "continuous" 3703 TRUE "0.00365681574468564" "0.00540667878786317" "0.508477437304387" "None" "None" 0.508477437304387 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.78288955033766
"FOLIC_ACID_mcg" "continuous" 3748 TRUE "4.26596395880293e-06" "6.33916109912049e-06" "0.510580141524561" "None" "None" 0.510580141524561 "logLBXB12" "WTMEC4YR" 1 0.78288955033766
"DR1TSFAT" "continuous" 3703 TRUE "-0.000437741019667339" "0.000661074736149828" "0.517289798040131" "None" "None" 0.517289798040131 "logLBXB12" "WTDR4YR (46 observations are missing weights)" 1 0.787345501428729
